CONCEPTO(Millones de pesos),2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Producto interno bruto,64.328,68.990,73.141,77.148,80.656,87.133,91.370, 96 851, 100 050, 103 428, 107 352, 545 218, 633 442
Agricultura ganadería y silvicultura,2.230,2.400,2.716,2.920,3.063,3.222,3.477, 3 559, 3 655, 3 575, 2 845, 4 513, 4 782
Pesca,95,87,100,108,113,120,122,  122,  130,  115,  120,  296,  287
Explotación de minas y canteras,429,441,453,458,465,461,466,  500,  495,  473,  477, 9 726, 11 875
Industria azucarera,432,454,503,545,567,621,559,  793,  304,  742,  683, 2 194, 3 063
Industrias manufactureras (excepto Industria  azucarera),9.623,10.129,11.275,11.593,11.602,12.369,12.096, 12 282, 12 516, 12 165, 11 337, 55 245, 64 933
Suministro de electricidad gas y agua",1.032,1.067,1.142,1.209,1.255,1.328,1.435, 1 484, 1 536, 1 629, 1 406, 3 655, 3 882
Construcción,3.211,3.265,3.718,4.055,3.978,4.698,6.407, 8 530, 10 040, 10 382, 10 808, 56 475, 66 817
Comercio; reparación de efectos personales,12.058,12.971,13.808,14.727,15.588,16.851,18.116, 19 486, 20 092, 19 507, 17 777, 102 914, 120 466
Hoteles y restaurantes,3.098,3.200,3.202,3.328,3.456,3.843,4.294, 4 809, 4 677, 4 968, 3 970, 12 102, 24 584
Transportes almacenamiento y comunicaciones",5.314,5.595,6.041,6.352,6.878,7.476,8.445, 8 819, 9 004, 8 679, 7 288, 58 249, 79 993
Intermediación financiera,1.028,1.044,1.066,1.100,1.157,1.209,1.248, 1 306, 1 346, 1 379, 1 367, 4 145, 4 364
Servicios empresariales actividades inmobiliarias  y de alquiler",1.775,1.811,2.015,2.088,2.173,2.286,2.373, 2 545, 2 599, 2 865, 2 845, 11 712, 13 352
Administración pública defensa; seguridad social",2.080,3.119,3.221,3.350,3.169,3.226,3.459, 3 339, 3 472, 3 897, 4 580, 19 182, 19 899
Ciencia e innovación tecnológica,284,271,340,368,319,313,284,  293,  321,  385,  387, 1 126, 1 226
Educación,6.010,6.485,6.453,6.422,5.934,5.981,5.957, 5 983, 5 828, 7 165, 10 369, 41 750, 42 394
Salud pública y asistencia social,10.016,11.419,11.949,13.167,15.732,17.377,16.661, 16 851, 17 578, 18 149, 24 238, 140 522, 145 952
Cultura y deporte,3.030,2.953,2.617,2.634,2.498,2.700,2.746, 2 884, 2 999, 3 325, 3 513, 10 572, 11 939
Otras act de servicios comunales de asociaciones y personales",1.925,1.499,1.699,1.833,1.882,2.135,2.248, 2 272, 2 333, 2 500, 2 580, 6 431, 8 436
Derechos de importación,658,780,823,891,827,917,978,  994, 1 126, 1 528,  762, 4 411, 5 199
