9.24 - Entregas a sacrificio de aves ,,,,,,,,,,,,,,,,,,,,,,,,,9.24 - Entregas a sacrificio de aves ,,,,,,,,,,,,,,,,,
      ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,     UM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,,CONCEPTO,     UM,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peso en pie,     Mt,...,...,...,...,"142,8","133,8","89,0","51,7","51,2","55,6","72,7","74,6","79,2","72,6","74,2","73,3","70,3","45,0","43,2","45,7","37,8","40,0",,Peso en pie,     Mt,"43,0","42,4","42,6","43,1","45,4","44,9","41,6","42,3","42,9","39,2","37,5","36,9","35,4","37,1","36,5","37,5"
  Empresas avícolas estatales,,,,,,,,,,,,,,,,,,,,,,,,,  De ella:  Empresas avícolas estatales,,,,,,,,,,,,,,,,,
     Producción total de carne de ave,     Mt,"113,0","113,3","109,4","114,5","117,8","108,8","64,0","26,7","21,2","24,8","29,5","30,1","28,0","25,4","26,9","26,7","23,5","11,5","8,0","8,1","7,1","9,3",,                      Peso en pie,     Mt,"10,1","9,4","9,4","9,5","10,0","9,7","9,0","9,3","9,4","8,6","8,1","8,2","8,0","8,4","8,0","8,2"
     Pollos de ceba entrega a sacrificio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Cantidad,    Mcabz,"62.289,5","63.731,0","64.971,0","67.367,9","69.960,5","68.622,0","46.804,6","4.936,6","4.934,6","8.237,8","12.555,4"," 12 094,1"," 10 932,8"," 9 570,4"," 9 166,7"," 9 703,9"," 8 435,1"," 5 324,6","  108,0","  72,2",-,-,,,,,,,,,,,,,,,,,,,
        Peso en pie,     Mt,"92,9","93,1","91,2","96,8","101,9","91,4","47,4","6,0","7,6","12,3","18,5","18,8","17,8","15,3","18,6","16,0","13,0","8,2","0,2","0,2",-,-,,,,,,,,,,,,,,,,,,,
        Peso promedio,     kg,"1,49","1,46","1,40","1,44","1,46","1,33","1,01","1,22","1,54","1,49","1,47","1,55","1,63","1,60","2,03","1,65","1,5","1,5","1,8","1,7",-,-,,,,,,,,,,,,,,,,,,,
        Pienso consumido por ave,     kg,"3,71","3,64","3,64","3,79","3,82","3,74","3,28","4,68","4,65","3,10","4,43","4,30","4,52","4,76","4,78","4,54","4,1","3,8","4,1","3,7","4,4","2,7",,,,,,,,,,,,,,,,,,,
        Conversión de pienso en carne,     kg,"2,49","2,49","2,59","2,64","2,62","2,81","3,24","3,87","3,03","3,10","3,00","2,97","2,96","2,98","2,36","2,79","3,0","2,5","2,3","2,1","2,8","1,6",,,,,,,,,,,,,,,,,,,
