9.28 - Indicadores seleccionados de la apicultura (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,    UM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existencia promedio de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 colmenas,MU,"208,2","203,7","204,1","195,1","187,9","180,1","169,6","153,3","141,9","140,6","142,1","146,1","151,4","150,8","143,2","148,0","148,0","127,3","162,5","140,9","88,6","155,1","140,9","147,9","148,8","154,7","161,2","163,6","164,0","169,7","171,8","184,0","184,4","191,5","204,9","212,9","221,2","201,7"
    De ello: Estatal,,"117,7","110,2","107,6","102,7","97,7","92,9","83,7","70,1","55,9","31,6","8,5","3,6","2,8","3,0","2,7","2,7","2,7","2,7","3,4","2,8","2,8","3,4","2,8","1,6","0,5","0,1","0,1",…,…,…,…,…,…,…,…,…,…,…
Producción,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Miel total,Mt,"9,7","8,7","7,7","9,7","9,5","7,4","9,2","6,6","4,5","4,9","5,5","4,8","5,0","5,6","6,7","6,9","6,6","5,6","7,2","6,2","3,9","6,9","6,2","5,1","5,2","4,7","6,7","6,8","7,0","7,9","7,3","9,1","6,3","8,8","9,9","7,8","10,5","9,2"
    De ello: Estatal,,"6,9","6,1","5,3","6,3","6,1","4,6","5,6","3,8","2,4","1,5","0,4","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1",0,0,0,0,…,…,…,…,…,…,…,…,…,…,…
  Cera total,t,"214,9","189,8","169,0","180,2","187,3","146,3","163,6","126,7","95,2","93,2","97,7","98,4","141,2","102,2","128,2","130,0","124,3","105,5","135,6","116,8","73,5","130,0","116,8","108,1","90,0","78,3","114,7","129,1","133,3","144,1","131,8","115,5","120,2","125,0","148,2","121,6","164,9","148,5"
    De ello: Estatal,,"136,8","124,7","105,7","120,2","118,6","95,0","110,4","86,2","61,8","31,5","6,4","1,7","1,9","1,2","2,1","2,1","2,0","2,0","2,0","3,0","3,0","2,0","2,0","0,2","0,2","0,1","0,1",…,…,…,…,…,…,…,…,…,…,…
Rendimiento de miel por colmena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total,kg,"46,6","42,6","37,9","49,9","50,4","41,4","54,1","43,1","31,4","34,7","38,9","32,7","33,9","37,1","46,8","46,6","44,6","44,0","44,3","44,0","44,0","44,5","44,0","34,5","34,9","30,4","41,5","41,7","42,1","46,0","42,5","49,5","34,0","47,0","49,7","36,8","47,6","44,3"
    De ello: Estatal,,"58,6","55,8","49,1","61,7","62,1","47,5","66,7","53,6","42,9","46,6","46,0","18,9","28,8","26,7","37,0","37,0","36,0","36,0","29,4","35,7","35,7","29,4","35,7","28,1","38,0","30,0","31,0",…,…,…,…,…,…,…,…,…,…,…
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(a) Excluye los productores no especializados y los patios y parcelas de los hogares. ,,,,,,,,,,,,,,,,,,,,,,,,,,(a) Excluye los productores no especializados y los patios y parcelas de los hogares. ,,,,,,,,,,,,,
