CONCEPTO(Miles de Cabezas),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total,"774,1","752,9","739,0","665,1","665,3","633,1","637,4","645,2","646,4","635,6","620,8","603,8","559,0","464,0","461,0","444,8","461,5","468,0","482,4","494,8","499,8","512,9","536,4","564,9","605,4","646,1","675,5","715,7","758,7","810,3","851,1","898,6","927,3","954,9","950,3","960,2","948,7","947,3"
Equino,"740,2","717,9","702,8","630,1","629,2","596,5","600,0","606,8","607,7","597,2","582,9","567,6","525,3","433,6","430,4","414,8","430,9","437,5","451,6","464,0","469,5","482,8","506,0","534,0","573,8","613,6","642,7","681,9","723,7","773,9","814,2","860,8","888,8","915,8","910,5","915,1","911,9","907,8"
De ello: machos,"385,6","372,9","361,5","321,9","318,0","299,8","299,6","301,6","300,7","176,8","285,3","275,5","251,7","205,4","204,1","196,6","203,4","206,6","212,9","218,1","221,2","227,1","237,2","249,8","269,0","287,8","301,8","319,8","339,9","362,8","382,3","405,2","419,5","432,7","410,2","425,5","423,4","577,3"
Asnal,"4,0","4,0","4,2","4,5","4,9","5,2","5,4","5,7","5,8","5,9","6,1","6,3","6,2","6,1","6,4","6,7","7,1","7,3","7,8","8,3","8,7","9,1","9,7","10,4","11,3","12,2","12,8","13,5","14,4","15,3","15,7","16,4","16,9","17,4","17,9","19,1","17,5","17,7"
De ello: machos,"2,0","2,0","2,1","2,2","2,4","2,6","2,7","2,8","2,9","2,9","3,0","3,1","3,0","3,0","3,2","3,3","3,5","3,6","3,8","4,1","4,2","4,4","4,7","5,0","5,5","6,0","6,2","6,6","7,1","7,5","7,7","8,1","8,3","8,5","8,7","9,3","7,9","8,5"
Mular,"30,0","31,0","32,0","30,5","31,2","31,4","32,0","32,7","32,9","32,5","31,8","29,9","27,5","24,3","24,2","23,3","23,5","23,2","23,0","22,5","21,6","21,0","20,7","20,5","20,3","20,3","20,0","20,3","20,6","21,1","21,2","21,4","21,6","21,7","21,9",26,"19,3","21,6"
Estatal,"223,5","227,0","232,4","235,6","239,0","236,4","227,5","216,3","204,1","126,4","108,7","101,7","92,6","76,3","74,7","71,4","71,6","69,2","69,5","67,0","65,0","65,3","66,8","68,3","69,2","68,2","63,8","62,1","60,3","58,7","55,4","54,4","51,0","49,9","55,9","40,1","46,3","38,6"
Equino,"210,7","212,9","217,3","219,2","221,7","218,4","209,2","197,8","185,5","112,3","95,9","89,7","81,4","66,3","64,8","61,7","62,0","59,8","60,0","57,8","56,0","56,2","57,7","59,0","59,8","58,8","54,6","53,0","51,2","49,6","46,8","46,2","43,3","42,7","48,5","33,6","39,8","32,8"
De ello: machos,"124,0","124,8","124,7","125,6","126,5","124,0","118,4","111,1","103,5","58,8","49,9","46,4","41,6","32,8","32,4","30,7","31,1","30,2","30,4","28,7","28,5","28,8","29,5","30,4","31,0","30,4","28,1","27,2","26,3","25,5","24,3","24,2","22,8","22,3","23,1","23,4","33,4","46,7"
Asnal,"1,2","1,4","1,5","1,8","2,1","2,3","2,5","2,6","2,7","2,1","2,3","2,4","2,4","2,4","2,4","2,4","2,4","2,4","2,5","2,5","2,5","2,6","2,7","2,9","3,0","3,2","3,2","3,2","3,2","3,1","2,8","2,6","2,3","2,1","2,4","1,3","2,4","2,2"
De ello: machos,"0,7","0,7","0,8","0,9","1,1","1,3","1,3","1,3","1,3","1,1","1,1","1,1","1,1","1,1","1,2","1,2","1,1","1,1","1,2","1,2","1,2","1,1","1,2","1,2","1,3","1,4","1,4","1,5","1,5","1,5","1,4","1,3","1,2","1,0","1,3","0,7","0,6","0,4"
Mular,"11,6","12,7","13,6","14,6","15,2","15,7","15,8","15,9","15,9","12,0","10,5","9,6","8,8","7,6","7,5","7,3","7,2","7,0","7,0","6,7","6,5","6,5","6,4","6,4","6,4","6,2","6,0","5,9","5,9","6,0","5,8","5,6","5,4","5,1",5,"5,2","4,1","3,6"
No estatal,"550,6","525,9","506,6","429,5","426,3","396,7","409,9","428,9","442,3","509,2","512,1","502,1","466,4","387,7","386,3","373,4","389,9","398,8","412,9","427,8","434,8","447,6","469,6","496,6","536,2","577,9","611,7","653,6","698,4","751,6","795,7","844,2","876,3","905,0","894,4","920,1","902,4","908,7"
Equino,"529,5","505,0","485,5","410,9","407,5","378,1","390,8","409,0","422,2","484,9","487,0","477,9","443,9","367,3","365,6","353,1","368,9","377,7","391,6","406,2","413,5","426,6","448,3","475,0","514,0","554,8","588,1","628,9","672,5","724,3","767,4","814,6","845,5","873,1",862,"881,5","872,1",875
De ello: machos,"261,6","248,1","236,8","196,3","191,5","175,8","181,2","190,5","197,2","118,0","235,4","229,1","210,1","172,6","171,7","165,9","172,3","176,4","182,5","189,4","192,7","198,3","207,7","219,4","238,0","257,4","273,7","292,6","313,6","337,3","358,0","381,0","396,7","410,4","387,1","402,1","390,0","401,2"
Asnal,"2,7","2,6","2,7","2,7","2,8","2,9","2,9","3,1","3,1","3,8","3,8","3,9","3,8","3,7","4,0","4,3","4,7","4,9","5,3","5,8","6,2","6,5","7,0","7,5","8,3","9,0","9,6","10,3","11,2","12,2","12,9","13,8","14,6","15,3","15,5","17,8","15,1","16,5"
De ello: machos,"1,3","1,3","1,3","1,3","1,3","1,4","1,4","1,5","1,6","1,8","1,9","2,0","1,9","1,9","2,0","2,1","2,4","2,5","2,6","2,9","3,0","3,3","3,5","3,8","4,2","4,6","4,8","5,1","5,6","6,0","6,3","6,8","7,1","7,5","7,4","8,6","7,3",8
Mular,"18,4","18,3","18,4","15,9","16,0","15,7","16,2","16,8","17,0","20,5","21,3","20,3","18,7","16,7","16,7","16,0","16,3","16,2","16,0","15,8","15,1","14,5","14,3","14,1","13,9","14,1","14,0","14,4","14,7","15,1","15,4","15,8","16,2","16,6","16,9","20,8","15,2","17,2"
