2.38- Afectaciones por ciclones tropicales,,,,,,
,,,,,,Millones de pesos
,,,,,,
,,,,,,
,Pérdidas económicas,,,,,
,,De ello:,,,,
,,Gastos en medidas ,Costo de reposición,,,Bienes y servicios dejados
AÑOS/HURACANES,Total,preventivas, de vivienda,Instalaciones,Agropecuario, de efectuar
,,,,,,
,,,,,,
2001,"1.866,0","13,4","784,9","98,7","672,1","296,9"
Michelle (Noviembre),"1.866,0","13,4","784,9","98,7","672,1","296,9"
2002,"713,1","2,0","471,7","55,1","95,1","89,1"
Isidore / Lili  (Octubre),"713,1","2,0","471,7","55,1","95,1","89,1"
2004,"2.145,8","48,5","485,1","31,2","702,8","860,4"
Charley (Agosto),"1.222,7","9,1","432,6","29,2","481,9","253,5"
Iván  (Septiembre),"923,1","39,4","52,5","2,0","220,9","606,9"
2005,"3.036,0","117,2","1.074,8","213,2","893,4","658,0"
Dennis (Julio),"2.124,8","18,7","1.026,1","201,0","603,4","265,3"
Rita (Septiembre),"207,0","25,0","3,1","8,9","117,7","52,3"
Wilma (Octubre),"704,2","73,5","45,6","3,3","172,3","340,4"
2006,"95,1","15,2","24,6",-,-,"40,0"
Ernesto (Septiembre),"95,1","15,2","24,6",-,-,"40,0"
2007,"1.155,4","12,8","364,4","168,5","559,5","32,6"
Intensas lluvias y tormenta,,,,,,
tropical Noel (Octubre),"1.155,4","12,8","364,4","168,5","559,5","32,6"
2008,"9.759,3","137,7","4.983,8","372,9","3.605,8","525,4"
Fay (Agosto),"37,8","1,6","16,8","4,9","7,1","4,0"
Gustav (Septiembre),"2.096,7","30,9","1.121,5","59,6","868,4","9,8"
IKE (Septiembre),"7.325,3","95,9","3.764,7","304,8","2.540,2","501,9"
Paloma (Noviembre),"299,5","9,3","80,8","3,6","190,1","9,7"
2012,"6.966,9","70,6","3.546,6","295,8","2.469,0","398,0"
   Sandy (Noviembre),"6.966,9","70,6","3.546,6","295,8","2.469,0","398,0"
2016,"2.430,8","24,1","388,5","70,1","519,5","81,9"
Matthew (Octubre),"2.430,8","24,1","388,5","70,1","519,5","81,9"
2017,"13.184,5","75,4","6.664,7","457,0","4.292,9","495,0"
Irma (Septiembre),"13.184,5","75,4","6.664,7","457,0","4.292,9","495,0"
2018,"420,6","11,5","27,0","2,4","287,6","0,1"
Tormenta Subtropical Alberto (Mayo),"348,7","11,5","21,4","2,4","252,5","0,1"
Michael (Octubre),"71,9",-,"5,6",0,"35,1",-
2019,"79,1",-,"41,3","15,7",-,"0,8"
Tornado (Enero),"79,1",-,"41,3","15,7",-,"0,8"
2020,"1.314,0",-,"11,3","8,8","323,9","6,8"
Laura (Agosto),"1.071,3",-,"9,3","4,0","210,7","6,2"
           ETA (Noviembre),"242,7",-,"2,0","4,8","113,2","0,6"
2021,"62,7",-,"4,6","3,7","30,4","0,1"
ELSA (julio),"25,1",-,"0,2","0,2","3,1","0,1"
IDA (agosto),"37,6",-,"4,4","3,5","27,3",-
2022,"22.291,3","60,0","4.629,1","732,2","15.193,5","2,0"
Intensas lluvias(junio),"103,7","2,3","32,1","0,5","67,3",-
IAN(septiembre),"22.187,5","57,7","4.597,0","731,7","15.126,3","2,0"
