8.10 -  Importaciones de mercancías según secciones de la Clasificación Uniforme para el Comercio Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                  ,,,,,,,,,,,,,,,,,,                  Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, ,, ,, ,,,,,,,,,,,,,,
SECCIONES,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120
  De ello:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Productos alimenticios y animales vivos,889.239,708.908,716.235,912.453,827.341,825.470,498.574,474.167,467.331,610.890,718.212,724.581,704.200,722.396,671.801,755.569,739.431,857.003,1.034.090,1.316.928,1.259.277,1.548.923,2.205.342,1.495.900,1.467.095,1.863.194,1.644.877,1.848.051,1.917.741,1.800.910,1.777.569,1.823.671,1.929.447,1.910.343,1.619.803,1.954.932,2.024.001
  Bebidas y tabaco,7.769,8.471,10.876,8.793,6.490,4.363,771,3.469,7.591,16.112,14.904,34.872,28.824,25.818,25.215,20.594,20.280,25.775,26.078,23.346,25.261,26.881,61.256,26.798,42.793,37.122,27.861,50.436,54.786,89.666,100.721,128.270,119.075,101.298,68.652,73.728,238.770
"  Materiales crudos no comestibles, excepto  los combustibles",324.266,306.953,301.542,289.526,247.109,139.766,111.678,130.400,79.874,113.635,85.286,95.014,95.051,90.521,95.390,90.721,107.628,134.330,169.545,162.803,172.235,222.237,367.047,262.794,148.770,196.882,239.378,237.865,210.423,182.429,173.377,153.415,200.873,185.356,146.004,133.595,229.360
"  Combustibles y lubricantes, minerales y  productos conexos",2.655.641,2.533.465,2.620.951,2.636.950,2.022.784,1.277.218,826.328,721.398,772.966,872.811,975.807,990.070,687.030,730.763,1.158.071,977.267,868.870,996.273,1.310.421,1.945.513,2.286.572,2.382.884,4.561.798,2.650.384,4.529.660,6.369.886,6.475.033,6.343.008,5.617.084,3.058.071,1.990.313,2.435.937,3.272.131,2.569.632,1.592.995,2.603.815,…
"  Aceites, grasas y ceras de origen animal y vegetal",81.637,76.180,67.275,78.440,69.968,49.202,30.902,18.885,16.456,24.084,30.870,41.058,44.414,70.650,47.151,47.390,40.365,67.824,60.726,94.827,44.819,71.096,154.044,85.997,124.290,146.505,164.653,119.995,147.456,148.549,135.597,132.380,131.150,147.978,145.510,202.412,205.191
"  Productos químicos y productos conexos, n.e.p.",409.790,433.890,447.193,530.981,422.780,243.516,196.275,162.226,166.470,308.208,296.202,398.560,419.720,428.938,418.765,477.743,440.623,429.758,540.560,621.268,668.517,825.901,1.179.997,817.191,966.239,1.254.433,1.225.362,1.300.015,1.233.839,1.303.784,1.119.869,1.037.352,1.179.486,1.015.549,793.154,955.582,894.932
"  Artículos manufacturados, clasificados principalmente según el material",989.249,921.974,821.149,855.006,858.947,333.584,174.809,172.879,198.380,374.555,433.863,513.593,628.672,687.889,673.195,677.068,532.273,609.975,692.619,893.712,1.060.460,1.101.795,1.548.650,1.047.915,1.100.436,1.396.452,1.415.344,1.502.995,1.134.266,1.499.972,1.362.095,1.176.344,1.355.094,1.168.882,852.807,800.066,989.061
  Maquinaria y equipo de transporte,2.419.267,2.337.439,2.353.714,2.542.022,2.718.480,1.298.409,426.236,244.043,196.271,426.680,561.622,856.369,1.130.414,1.144.441,1.202.330,1.236.900,998.730,1.021.580,1.213.986,1.818.717,3.097.397,3.005.681,3.154.618,1.781.022,1.668.506,1.954.198,1.939.893,2.524.865,1.978.073,2.741.841,2.713.323,2.483.957,2.587.704,2.296.768,1.614.556,1.349.604,1.532.689
  Artículos manufacturados diversos,258.118,268.856,244.743,285.640,242.580,62.224,33.929,18.499,32.045,92.983,325.089,332.888,442.577,447.538,502.820,508.249,437.800,528.899,565.969,725.567,881.389,891.085,1.000.357,735.619,595.396,732.055,666.543,775.899,741.301,873.537,895.208,732.827,672.690,504.503,375.957,357.144,382.014
 Mercaderías y operaciones no clasificadas en otro rubro de la CUCI,-,-,-,-,46,-,15.414,62.249,79.437,42.572,127.142,251,290,136,875,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… ,… 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A partir del año 2002 se incluye donaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
